id,title,description,product_type
49F-BLI-10,Mini Folders (4 x 9 ) - Black Linen - Pack of 10,,
AVE47985-25,9 x 12 Presentation Folders - Dark Blue - Two Pockets - Pack of 25,,
AVE47986-25,9 x 12 Presentation Folders - Light Blue - Two Pockets - Pack of 25,,
AVE47987-25,9 x 12 Presentation Folders - Green - Two Pockets - Pack of 25,,
AVE47988-25,9 x 12 Presentation Folders - Black - Two Pockets - Pack of 25,,
AVE47989-25,9 x 12 Presentation Folders  - Two Pockets - Pack of 25,,
AVE47990-25,9 x 12 Presentation Folders - Gray - Two Pockets - Pack of 25,,
AVE47991-25,9 x 12 Presentation Folders - White - Two Pockets - Pack of 25,,
AVE47992-25,9 x 12 Presentation Folders - Yellow - Two Pockets - Pack of 25,,
CERTIF-APP-25,Certificate of Appreciation - Natural White White - Pack of 25,,
CERTIF-AWA-25,Certificates - Award - Natural White - Pack of 25,,
CERTIF-BLA-25,Certificates - Blank - Natural White - Pack of 25,,
CERTIF-PAR-25,Certificates - Participation - Natural White - Pack of 25,,
CHEL-185-BN100-25,Certificate Holders - Soft Ivory Linen - Natural White - Pack of 25,,
CHEL-185-DB100-25,Certificate Holders - Burgundy Red Linen - Pack of 25,,
CHEL-185-DDBLK100-25,Certificate Holders - Deep Black Linen - Pack of 25,,
CHEL-185-DDBLU100-25,Certificate Holders - Dark Blue Linen - Pack of 25,,
CHEL-185-DDP100-25,Certificate Holders - Green Linen - Pack of 25,,
CHEL-185-SG12-25,Certificate Holders - White Gloss - Pack of 25,,
LF-118-DB100-25,Legal Size Folders - Burgundy Red Linen  - Two Pockets - Pack of 25,,
LF-118-DDBLK100-25,Legal Size Folders - Black Linen - Two Pockets - Pack of 25,,
LF-118-DDBLU100-25,Legal Size Folders - Blue Linen - Two Pockets - Pack of 25,,
LF-118-DDP100-25,Legal Size Folders - Green Linen - Two Pockets - Pack of 25,,
LF-118-SG12-25,Legal Size Folders - White Gloss - Two Pockets - Pack of 25,,
LUX-PF-07-25,9 x 12 Presentation Folders - Tan - Two Pockets - Pack of 25,,
LUX-PF-10-25,9 x 12 Presentation Folders - Magenta Pink - Two Pockets - Pack of 25,,
LUX-PF-101-25,9 x 12 Presentation Folders - Limelight Green - Two Pockets - Pack of 25,,
LUX-PF-102-25,9 x 12 Presentation Folders - Pool Blue - Two Pockets - Pack of 25,,
LUX-PF-103-25,9 x 12 Presentation Folders - Navy Blue - Two Pockets - Pack of 25,,
LUX-PF-104-25,9 x 12 Presentation Folders - Vintage Plum Purple - Two Pockets - Pack of 25,,
LUX-PF-106-25,9 x 12 Presentation Folders - Wisteria Purple - Two Pockets - Pack of 25,,
LUX-PF-11-25,9 x 12 Presentation Folders - Mandarin Orange - Two Pockets - Pack of 25,,
LUX-PF-112-25,9 x 12 Presentation Folders - Tangerine Orange - Two Pockets - Pack of 25,,
LUX-PF-113-25,9 x 12 Presentation Folders - Seafoam Blue - Two Pockets - Pack of 25,,
LUX-PF-12-25,9 x 12 Presentation Folders - Sunflower Yellow - Two Pockets - Pack of 25,,
LUX-PF-13-25,9 x 12 Presentation Folders - Baby Blue - Two Pockets - Pack of 25,,
LUX-PF-14-25,9 x 12 Presentation Folders - Candy Pink - Two Pockets - Pack of 25,,
LUX-PF-15-25,9 x 12 Presentation Folders - Lemonade Yellow - Two Pockets - Pack of 25,,
LUX-PF-17-25,9 x 12 Presentation Folders - Chocolate Brown - Two Pockets - Pack of 25,,
LUX-PF-18-25,9 x 12 Presentation Folders - Ruby Red - Two Pockets - Pack of 25,,
LUX-PF-22-25,9 x 12 Presentation Folders - Smoke  Gray - Two Pockets - Pack of 25,,
LUX-PF-23-25,9 x 12 Presentation Folders - Boardwalk Blue - Two Pockets - Pack of 25,,
LUX-PF-25-25,9 x 12 Presentation Folders - Teal - Two Pockets - Pack of 25,,
LUX-PF-26-25,9 x 12 Presentation Folders - Garnet Red  - Two Pockets - Pack of 25,,
LUX-PF-56-25,9 x 12 Presentation Folders - Midnight Black - Two Pockets - Pack of 25,,
LUX-PF-L17-25,9 x 12 Presentation Folders - Holiday Green - Two Pockets - Pack of 25,,
LUX-PF-L20-25,9 x 12 Presentation Folders - Citrus Yellow - Two Pockets - Pack of 25,,
LUX-PF-L22-25,9 x 12 Presentation Folders - Wasabi Green - Two Pockets - Pack of 25,,
MF-144-DB100-25,Small Presentation Folders - Burgundy Red Linen  - Two Pockets - Pack of 25,,
MF-144-DDBLK100-25,Small Presentation Folders - Black Linen - Two Pockets - Pack of 25,,
MF-144-DDBLK100-NC-25,Small Presentation Folders - No Card Slits - Black Linen - Two Pockets - Pack of 25,,
MF-144-DDBLU100-25,Small Presentation Folders - Blue Linen - Two Pockets - Pack of 25,,
MF-144-DDP100-25,Small Presentation Folders - Deep Pine Green Linen -  Pack of 25,,
MF-144-DE100-25,Small Presentation Folders - Eggplant Purple Linen - Two Pockets - Pack of 25,,
MF-144-DMAH100-25,Small Presentation Folders - Espresso Brown Linen - Two Pockets - Pack of 25,,
MF-144-SG12-25,Small Presentation Folders - White Gloss - Two Pockets - Pack of 25,,
MF-4801-DDBLU100-25,Mini Folders (4 x 9) - Dark Blue Linen - Pack of 25,,
MF-4801-SG12-25,Mini Folders (4 x 9) - White Gloss - Pack of 25,,
PDCL-85X11-DB-1,Padded Diploma Cover - Black - Pack of 1,,
PDCL-85X11-NB-1,Padded Diploma Cover - Navy Blue - Pack of 1,,
PF-100W-25,9 x 12 Presentation Folders - 100lb. White - Two Pockets - Pack of 25,,
PF-100WLI-25,9 x 12 Presentation Folders - White Linen - Two Pockets - Pack of 25,,
PF-130W-25,9 x 12 Presentation Folders - 130lb. White - Two Pockets - Pack of 25,,
PF-BLI-25,9 x 12 Presentation Folders - Black Linen - Two Pockets - Pack of 25,,
PF-DBLI-25,9 x 12 Presentation Folders - Dark Blue Linen - Two Pockets - Pack of 25,,
PF-GB-25,9 x 12 Presentation Folders - 18pt. Grocery Bag - Two Pockets - Pack of 25,,
PF-M06-25,9 x 12 Presentation Folders - Silver Metallic - Two Pockets - Pack of 25,,
PF-M07-25,9 x 12 Presentation Folders - Gold Metallic - Two Pockets - Pack of 25,,
PF-N-25,9 x 12 Presentation Folders - Natural White - Two Pockets - Pack of 25,,
PF-NLI-25,9 x 12 Presentation Folders - Natural White Linen - Two Pockets - Pack of 25,,
SF-101-AW100-25,9 x 12 Presentation Folders - White Smooth - Two Pockets - Pack of 25,,
SF-101-BN100-25,9 x 12 Presentation Folders - Ivory White Linen - Two Pockets - Pack of 25,,
SF-101-BT80-25,9 x 12 Presentation Folders - Thyme Green Fiber -  Pack of 25,,
SF-101-CMBLK12-25,9 x 12 Presentation Folders - Black Marblecoat - Two Pockets - Pack of 25,,
SF-101-CMBLU12-25,9 x 12 Presentation Folders - Blue Marblecoat - Two Pockets - Pack of 25,,
SF-101-CMBUR12-25,9 x 12 Presentation Folders - Burgundy Marblecoat  - Two Pockets - Pack of 25,,
SF-101-CS80-25,9 x 12 Presentation Folders - Sandstone Gray Felt - Two Pockets - Pack of 25,,
SF-101-CSG100-25,9 x 12 Presentation Folders - Sterling Gray Linen - Two Pockets - Pack of 25,,
SF-101-DB100-25,9 x 12 Presentation Folders - Burgundy Red Linen  - Two Pockets - Pack of 25,,
SF-101-DB12-25,9 x 12 Presentation Folders - Black Gloss - Two Pockets - Pack of 25,,
SF-101-DDBLK100-25,9 x 12 Presentation Folders - Deep Black Linen - Two Pockets - Pack of 25,,
SF-101-DDP100-25,9 x 12 Presentation Folders - Deep Pine Green Linen - Two Pockets - Pack of 25,,
SF-101-DE100-25,9 x 12 Presentation Folders - Eggplant Purple Linen - Two Pockets - Pack of 25,,
SF-101-DMAH100-25,9 x 12 Presentation Folders - Espresso Brown Linen - Two Pockets - Pack of 25,,
SF-101-DN12-25,9 x 12 Presentation Folders - Navy Blue Gloss - Two Pockets - Pack of 25,,
SF-101-GMC-25,9 x 12 Presentation Folders - Green Marblecoat - Two Pockets - Pack of 25,,
SF-101-RGLOSS-25,9 x 12 Presentation Folders - Red Gloss - Two Pockets - Pack of 25,,
SF-101-SG12-25,9 x 12 Presentation Folders - White Gloss - Two Pockets - Pack of 25,,
SF-101-SGLOSS-25,9 x 12 Presentation Folders - Silver Gloss - Two Pockets - Pack of 25,,
SF-102-DDBLU100-25,9 x 12 Presentation Folders -With Front Cover Window - Dark Blue Linen - Two Pockets - Pack of 25,,
WEL-10PACK-1,Welcome Folders - Church Folders - Assorted Colors - Pack of 10,,
WEL-BIEN-DB100-GF-25,Bienvenidos Welcome Folders - Spanish Language Church Folders - Gold Foil Stamped Design - Burgundy Red Linen  - Pack of 25,,
WEL-BIEN-DDBLU100-GF-25,Bienvenidos Welcome Folders - Spanish Language Church Folders - Gold Foil Stamped Design - Dark Blue Linen - Pack of 25,,
WEL-BN100-GF-25,Welcome Folders - Church Folders - Gold Foil Stamped Design - Natural White Ivory Linen - Pack of 25,,
WEL-DB100-GF-25,Welcome Folders - Church Folders - Gold Foil Stamped Design - Burgundy Red Linen  - Pack of 25,,
WEL-DB100-SF-25,Welcome Folders - Church Folders - Silver Foil Stamped Design - Burgundy Red Linen  - Pack of 25,,
WEL-DDBLK100-GF-25,Welcome Folders - Church Folders - Gold Foil Stamped Design - Deep Black Linen - Pack of 25,,
WEL-DDBLK100-SF-25,Welcome Folders - Church Folders - Silver Foil Stamped Design - Deep Black Linen - Pack of 25,,
WEL-DDBLU100-GF-25,Welcome Folders - Church Folders - Gold Foil Stamped Design - Dark Blue Linen - Pack of 25,,
WEL-DDBLU100-SF-25,Welcome Folders - Church Folders - Silver Foil Stamped Design - Dark Blue Linen - Pack of 25,,
WEL-DDP100-GF-25,Welcome Folders - Church Folders - Gold Foil Stamped Design - Dark Green Linen - Pack of 25,,
WEL-DE100-GF-25,Welcome Folders - Church Folders - Gold Foil Stamped Design - Dark Purple Linen - Pack of 25,,
WEL-SG12-GF-25,Welcome Folders - Church Folders - Gold Foil Stamped Design - Bright White Gloss - Pack of 25,,
